,index,ticker,Company name
0,POOL.OQ,POOL,POOL ORD
1,CHRW.OQ,CHRW,CH ROBINSON WW ORD
2,AJG.N,AJG,ARTHUR J GALLAGHER ORD
3,CNP.N,CNP,CENTERPOINT ENERGY ORD
4,AMCR.N,AMCR,AMCOR PLC ORD
5,WM.N,WM,WASTE MANAGEMENT ORD
6,PRGO.N,PRGO,PERRIGO CO PLC
7,BA.N,BA,BOEING U ORD
8,FOX.OQ,FOX,FOX CORP CLASS B ORD
9,LIN.N,LIN,LINDE PLC ORD
10,WY.N,WY,WEYERHAEUSER REIT
11,MCD.N,MCD,MCDONALD'S ORD
12,HD.N,HD,HOME DEPOT ORD
13,SPG.N,SPG,SIMON PROPERTY GROUP REIT
14,HBAN.OQ,HBAN,HUNTINGTON BANCSHARES ORD
15,QRVO.OQ,QRVO,QORVO INC.
16,LVS.N,LVS,LAS VEGAS SNDS ORD
17,COG.N,COG,CABOT OIL ORD
18,AIG.N,AIG,AMERICAN INTERNATIONAL GROUP ORD
19,AIZ.N,AIZ,ASSURANT ORD
20,CARR.N,CARR,CARRIER GLOBAL CORP ORD
21,COST.OQ,COST,COSTCO WHOLESALE ORD
22,MCO.N,MCO,MOODYS ORD
23,DIS.N,DIS,WALT DISNEY ORD
24,PAYX.OQ,PAYX,PAYCHEX ORD
25,AMD.OQ,AMD,ADVANCED MICRO DEVICES ORD
26,REG.OQ,REG,REGENCY CENTERS REIT
27,DHI.N,DHI,D R HORTON ORD
28,TRV.N,TRV,TRAVELERS COS INC/THE ORD
29,BIO.N,BIO,BIO RAD LABORATORIES CL A ORD
30,MOS.N,MOS,THE MOSAIC COMPANY ORD
31,BWA.N,BWA,BORGWARNER ORD
32,WDC.OQ,WDC,WESTERN DIGITAL ORD
33,VTR.N,VTR,VENTAS REIT
34,IVZ.N,IVZ,INVESCO ORD
35,ZBRA.OQ,ZBRA,ZEBRA TECHS ORD
36,AMAT.OQ,AMAT,APPLIED MATERIAL ORD
37,STX.OQ,STX,SEAGATE TECHNOLOGY HOLDINGS PLC ORD
38,SYK.N,SYK,STRYKER ORD
39,VRSN.OQ,VRSN,VERISIGN ORD
40,NVR.N,NVR,NVR ORD
41,LB.N,LB,L BRANDS INC
42,LOW.N,LOW,LOWE'S COS INC ORD
43,BSX.N,BSX,BOSTON SCIENTIFIC ORD
44,SYY.N,SYY,SYSCO ORD
45,FCX.N,FCX,FREEPORT-MCMORAN INC
46,MAS.N,MAS,MASCO ORD
47,BEN.N,BEN,FRANKLIN RSC ORD
48,FB.OQ,FB,FACEBOOK CL A ORD
49,EVRG.N,EVRG,EVERGY ORD SHS
50,EXPD.OQ,EXPD,EXPEDITORS INTERNATIONAL OF WASN ORD
51,PAYC.N,PAYC,PAYCOM SOFTWARE ORD SHS
52,EXPE.OQ,EXPE,EXPEDIA GROUP INC ORD
53,RJF.N,RJF,RAYMOND JAMES ORD
54,CL.N,CL,COLGATE-PALMOLIVE CO ORD
55,CE.N,CE,CELANESE SR A ORD
56,UNH.N,UNH,UNITEDHEALTH GRP ORD
57,ARE.N,ARE,ALEXANDRIA REAL ESTATE EQUITIES REIT
58,UAA.N,UAA,UNDER ARMOUR ORD
59,NLOK.OQ,NLOK,NORTONLIFELOCK INC ORD
60,LLY.N,LLY,LILLY ORD
61,NWL.OQ,NWL,NEWELL BRANDS INC ORD
62,ISRG.OQ,ISRG,INTUITIVE SURGICAL ORD
63,AVB.N,AVB,AVALONBAY COMMUNITIES REIT
64,PVH.N,PVH,PVH ORD
65,TPR.N,TPR,TAPESTRY INC ORD
66,CBRE.N,CBRE,CBRE GROUP CL A ORD
67,CINF.OQ,CINF,CINCINNATI FINANCIAL ORD
68,SEE.N,SEE,SEALED AIR ORD
69,WMB.N,WMB,WILLIAMS ORD
70,EA.OQ,EA,ELECTRONIC ARTS ORD
71,TMUS.OQ,TMUS,T-MOBILE US INC
72,CB.N,CB,CHUBB LTD
73,TXN.OQ,TXN,TEXAS INSTRUMENTS ORD
74,MDLZ.OQ,MDLZ,MONDELEZ INTERNATIONAL INC
75,BLL.N,BLL,BALL ORD
76,PFG.OQ,PFG,PRINCIPAL FINL ORD
77,KEYS.N,KEYS,KEYSIGHT TECHNOLOGIES
78,RL.N,RL,RALPH LAUREN CL A ORD
79,JPM.N,JPM,JPMORGAN CHASE ORD
80,INFO.N,INFO,IHS MARKIT LTD ORD
81,TTWO.OQ,TTWO,TAKE TWO ORD
82,CDW.OQ,CDW,CDW ORD SHS
83,RMD.N,RMD,RESMED ORD
84,LNT.OQ,LNT,ALLIANT ENERGY ORD
85,NOV.N,NOV,NOV INC ORD
86,CMG.N,CMG,CHIPOTLE MEXICAN GRILL ORD
87,PCAR.OQ,PCAR,PACCAR ORD
88,GNRC.N,GNRC,GENERAC HOLDINGS ORD
89,CHTR.OQ,CHTR,CHARTER COMMUNICATIONS INC(NEW)
90,PWR.N,PWR,QUANTA SERVICES ORD
91,CCL.N,CCL,CARNIVAL ORD
92,PM.N,PM,PHILLIP MORRIS ORD
93,COO.N,COO,COOPER ORD
94,SNA.N,SNA,SNAP ON ORD
95,UAL.OQ,UAL,UNITED AIRLINES HOLDINGS ORD
96,ESS.N,ESS,ESSEX PROPERTY REIT
97,KHC.OQ,KHC,THE KRAFT HEINZ COMPANY
98,JBHT.OQ,JBHT,JB HUNT TRANSPORT SERVICES ORD
99,CMI.N,CMI,CUMMINS ORD
100,PNR.N,PNR,PENTAIR PLC
101,CRL.N,CRL,CHRLS RIVER LABS ORD
102,DPZ.N,DPZ,DOMINOS PIZZA ORD
103,HPQ.N,HPQ,HP ORD
104,LW.N,LW,LAMB WESTON HOLDINGS
105,TGT.N,TGT,TARGET ORD
106,NTAP.OQ,NTAP,NETAPP ORD
107,OXY.N,OXY,OCCIDENTAL U ORD
108,IR.N,IR,INGERSOLL RAND INC ORD
109,TER.OQ,TER,TERADYNE ORD
110,WAB.N,WAB,WABTEC ORD
111,FBHS.N,FBHS,FORTUNE BRANDS HOME AND SECURITY ORD
112,NOW.N,NOW,SERVICENOW ORD
113,EXC.OQ,EXC,EXELON ORD
114,BR.N,BR,BROADRIDGE FINANCIAL SOLUTIONS ORD
115,EMN.N,EMN,EASTMAN CHEMICAL ORD
116,AZO.N,AZO,AUTOZONE ORD
117,TEL.N,TEL,TE CONNECTIVITY ORD
118,FRT.N,FRT,FEDERAL REIT
119,DUK.N,DUK,DUKE ENERGY ORD
120,KMI.N,KMI,KINDER MORGAN ORD
121,DVN.N,DVN,DEVON ENERGY ORD
122,MXIM.OQ,MXIM,MAXIM INTEGRATED PRODUCTS ORD
123,RCL.N,RCL,ROYAL CARIBBEAN GROUP ORD
124,VTRS.OQ,VTRS,VIATRIS INC ORD
125,CAH.N,CAH,CARDINAL HEALTH ORD
126,AAL.OQ,AAL,AMERICAN AIRLINES GROUP INC.
127,MKC.N,MKC,MCCORMICK ORD
128,IEX.N,IEX,IDEX ORD
129,VLO.N,VLO,VALERO ENERGY ORD
130,LH.N,LH,LABORATORY CORPRTN OF AMER HLDGS ORD
131,DRI.N,DRI,DARDEN RESTAURANTS ORD
132,MAA.N,MAA,MID AMERICA APARTMENT COMMUNITI REIT
133,JNJ.N,JNJ,JOHNSON&JOHNSON ORD
134,ABC.N,ABC,AMERISOURCEBERGEN ORD
135,SHW.N,SHW,SHERWIN WILLIAMS ORD
136,GD.N,GD,GENERAL DYNAMICS ORD
137,SBAC.OQ,SBAC,SBA COMMUNICATIONS CL A ORD
138,MPWR.OQ,MPWR,MONOLITHIC POWER SYSTEMS ORD
139,COP.N,COP,CONOCOPHILLIPS ORD
140,ORCL.N,ORCL,ORACLE SYS ORD
141,AMP.N,AMP,AMERIPRISE FINANCE ORD
142,GRMN.OQ,GRMN,GARMIN ORD
143,NXPI.OQ,NXPI,NXP SEMICONDUCTORS ORD
144,CPRT.OQ,CPRT,COPART ORD
145,TXT.N,TXT,TEXTRON ORD
146,ALXN.OQ,ALXN,ALEXION PHARMACEUTICALS ORD
147,T.N,T,AT&T ORD
148,NDAQ.OQ,NDAQ,NASDAQ INC ORD
149,FFIV.OQ,FFIV,F5 NETWORKS ORD
150,LEN.N,LEN,LENNAR CORPORATION ORD
151,CDNS.OQ,CDNS,CADENCE DESIGN SYSTEMS ORD
152,NVDA.OQ,NVDA,NVIDIA ORD
153,WELL.N,WELL,WELLTOWER INC ORD
154,PLD.N,PLD,PROLOGIS REIT
155,ROST.OQ,ROST,ROSS STORES ORD
156,MRK.N,MRK,MERCK & CO INC ORD
157,WEC.N,WEC,WEC ENERGY GROUP INC ORD
158,MSCI.N,MSCI,MSCI ORD
159,TMO.N,TMO,THERMO FISHER SCIENTIFIC ORD
160,F.N,F,FORD MOTOR ORD
161,LYB.N,LYB,LYONDELLBASELL INDUSTRIES CL A ORD
162,IBM.N,IBM,INTL BUSINESS MACHINES CORP ORD
163,IQV.N,IQV,IQVIA HOLDINGS INC ORD
164,VRTX.OQ,VRTX,VERTEX PHARMACEUTICALS ORD
165,DXCM.OQ,DXCM,DEXCOM ORD
166,CERN.OQ,CERN,CERNER ORD
